Платформа;2 ops/w – 102400 4B words;2 ops/w – 1024000 4B words;2 ops/w – 10240000 4B words;8 ops/w – 102400 4B words;8 ops/w – 1024000 4B words;8 ops/w – 10240000 4B words;32 ops/w – 102400 4B words;32 ops/w – 1024000 4B words;32 ops/w – 10240000 4B words
Baikal T1 BFK;0;0;0;0;0;0;0;0;0
Orange Pi Win;0;0;0;0;0;0;0;0;0
Pentium III;0;0;0;0;0;0;0;0;0
Pentium III 933;425;380;281;425;380;281;409;407;407
Raspberry PI;44;43;31;96;88;79,5;192;176;159
Pentium M725;309;304;243;309;304;243;408;409;406
Pentium 4;3313;3396;421;3313;3396;421;7222;7240;6535
Raspberry PI 3;1 375,00;441;435;4 621,00;1 699,00;1 737,00;2 081,00;2 131,00;2 141,00
Odroid X2;893;598;620;2 077,00;1 987,00;2 015,00;3 276,00;3 230,00;3 224,00
Orange Pi PC2;2 737,00;482;475;6 597,00;1 909,00;1 896,00;6 033,00;5 797,00;5 826,00
Atom Z8350;5 725,00;1 303,00;1 052,00;11 934,00;5 077,00;4 204,00;10 665,00;10 456,00;10 419,00
Celeron N3350;9023;2370;2246;18220;9455;9034;23073;21635;21510
MBE1C-PC;7 804,00;2 103,00;2 089,00;10 453,00;7 041,00;7 003,00;15 676,00;15 626,00;15 641,00
Odroid N2;9 859,00;1 360,00;1 328,00;23 657,00;5 398,00;5 318,00;21 407,00;18 311,00;18 102,00
Core 2 Duo T9400;6 614,00;6 501,00;949;16 025,00;16 043,00;3 813,00;24 236,00;24 129,00;13 724,00
Core i3-m330;7 256,00;3 089,00;2 177,00;22 321,00;12 217,00;8 613,00;25 115,00;23 494,00;17 535,00
AMD A6-3650;16 325,00;4 294,00;2 226,00;31 623,00;17 883,00;8 640,00;42 202,00;34 047,00;26 819,00
AMD Ryzen 7 3700X;160404;187459;78041;311592;322025;159765;334062;340280;227971
E2S-PC401;16 319,00;17 495,00;2 998,00;22 592,00;17 738,00;12 125,00;35 782,00;35 757,00;24 169,00
Core i7-2600;43 309,00;35 180,00;4 454,00;83 624,00;84 536,00;17 643,00;81 936,00;82 606,00;68 539,00
Core i7-4700MQ;44 608,00;39 682,00;4 836,00;81 235,00;80 026,00;19 272,00;77 071,00;77 474,00;72 623,00
AWS Graviton;61 397,00;47 660,00;5 169,00;90 387,00;94 494,00;20 880,00;113 635,00;117 449,00;81 767,00
E2S-EL2S4;55 325,00;81 983,00;3 706,00;100 732,00;121 570,00;16 075,00;116 234,00;133 304,00;58 729,00
E8C-SWTX;46 965,00;65 423,00;4 505,00;98 423,00;93 145,00;17 994,00;146 865,00;160 334,00;68 001,00
E8C2-1200;53 065,00;72 849,00;9 159,00;141 270,00;197 423,00;36 293,00;272 517,00;302 580,00;136 836,00
E8C2;78 414,19;87 892,26;8 612,90;236 270,32;209 708,71;35 186,13;319 533,87;325 615,16;136 266,77
E8C2-1550;81 028,00;90 822,00;8 900,00;244 146,00;216 699,00;36 359,00;330 185,00;336 469,00;140 809,00
Xeon 6128;120 605,00;141 059,00;104 776,00;274 886,00;306 624,00;283 395,00;329 607,00;343 556,00;339 301,00
E8C-E8C4;134 841,00;121 759,00;116 454,00;193 019,00;279 431,00;279 598,00;402 357,00;461 200,00;378 806,00
E16C-APPROX!;209 104,52;234 379,35;22 967,74;630 054,19;559 223,23;93 829,68;852 090,32;868 307,10;363 378,06
E2C+DSP;3923;2195;2187;10556;8722;8761;6378;6353;6352
E2C3-NEXT;61332;18989;8700;84332;68051;34598;127028;127119;118418
TM5800;285;285;113;285;285;113;509;504;467
PowerPC 750FX 800;173;139;30;459;506;408;522;524;409
PPC970MP;8406;1450;1357;12183;5767;5416;10217;9880;9630
