Platform;Composite Score;FFT;SOR;MonteCarlo;Sparse matmult;LU
Core i7-2600;1 800,00;1 517,97;1636,33;515,34;1981,74;3348,64
Core 2 Duo T9400;1 051,93;720,56;1201,02;307,36;1119,72;1911,00
AMD A6-3650;1 028,44;775,83;989,81;344,97;1272,17;1759,44
Atom Z8350;509,44;267,60;719,12;178,04;497,19;885,27
Orange Pi PC2;191,59;147,36;283,10;64,07;185,46;277,94
Orange Pi Win;169,22;150,49;276,78;76,72;166,98;175,11
E8C-SWTX;511,43;235,71;481,74;132,23;186,18;1521,26
E8C2-1550;472,24;266,7;501,81;84,95;304,82;1202,94
E8C2-1200;469,46;212,71;446,05;118,25;166,34;1403,94
MBE1C-PC;379,23;174,82;364,42;97,02;132,92;1126,98
