Platform,CPU,Cores,Frequency (MHz),Architecture,MWIPS,MWIPS MP,MWIPS на 1 Мгц (однопоточный),MWIPS на 1 Мгц (многопоточный),Относительно Core i7-2600  ,Относительно Core i7-2600 (mp)
Orange Pi Win,Allwinner A64 (aarch64),4,1344,aarch64,700.6,1854,0.52,1.38,0.12,0.06
Orange Pi PC2,Allwinner H5 (aarch64),4,1152,aarch64,980.26,3798,0.85,3.3,0.17,0.12
Raspberry PI 3,Broadcom BCM2837B0 (armv8),4,1200,aarch64,997.2,2779.8,0.83,2.32,0.17,0.09
Odroid N2,Amlogic S922X,6,1800,aarch64,2136.98,9931,1.19,5.52,0.37,0.32
AWS Graviton,Alpine AL73400,16,2300,aarch64,2851.8,44741,1.24,19.45,0.5,1.43
Atom Z8350,Intel(R) Atom(TM) x5-Z8350 CPU @ 1.44GHz,4,1440,amd64,2085.24,6636,1.45,4.61,0.36,0.21
Core i3-m330,Intel(R) Core(TM) i3 CPU       M 330  @ 2.13GHz,4,2133,amd64,2824.97,8837,1.32,4.14,0.49,0.28
Core 2 Duo T9400,Intel(R) Core(TM) 2 Duo CPU     T9400  @ 2.53GHz,2,2530,amd64,2910.33,5195,1.15,2.05,0.51,0.17
AMD A6-3650,AMD A6-3650 APU with Radeon(tm) HD Graphics,4,2600,amd64,3718.16,12113,1.43,4.66,0.65,0.39
Core i7-4700MQ,Intel(R) Core(TM) i7-4700MQ CPU @ 2.40GHz,8,2400,amd64,5326.9,35234,2.22,14.68,0.93,1.13
Core i7-2600,Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz,8,3400,amd64,5729.52,31319,1.69,9.21,1,1
Xeon 6128,Intel(R) Xeon(R) Gold 6128 CPU @ 3.40GHz (2 CPU),24,3400,amd64,5850.41,123854,1.72,36.43,1.02,3.95
Raspberry PI,Broadcom BCM2835,1,700,arm,270.5,270.5,0.39,0.39,0.05,0.01
Odroid X2,Samsung Exynos 4412 (armv7l),4,1700,arm,1305.16,4291,0.77,2.52,0.23,0.14
E2S-PC401,Elbrus 4C [E2S] (pc401),4,800,e2k,938.12,2455,1.17,3.07,0.16,0.08
E2S-EL2S4,Elbrus 4C [EL2S4] (4 CPU),16,750,e2k,970.8,15790,1.29,21.05,0.17,0.5
MBE1C-PC,Elbrus 1C+ (MBE1C-PC),1,985,e2k,1277.55,1312,1.3,1.33,0.22,0.04
E8C-SWTX,Elbrus 8C (E8C-SWTX),8,1300,e2k,1517.62,12980,1.17,9.98,0.26,0.41
E8C2-1200,Elbrus 8C2 (Broken 8MB Cache 1.2 GHz),8,1200,e2k,1545.92,12420,1.29,10.35,0.27,0.4
E8C-E8C4,Elbrus 8C (4 CPU),32,1300,e2k,1647.51,53563,1.27,41.2,0.29,1.71
E8C2-1550,Elbrus 8C2 (E8C2 1550 MHz),8,1550,e2k,1703.75,14571.94,1.1,9.4,0.3,0.47
E8C2,Elbrus 8C2 (E8C2),8,1500,e2k,1703.75,14571.94,1.14,9.71,0.3,0.47
E16C-APPROX*,Elbrus 16,16,2000,e2k,2198.39,37605.01,1.1,18.8,0.38,1.2
Pentium M725,Pentium M725,1,1600,i386,506.94,506.94,0.32,0.32,0.09,0.02
Pentium III,Intel(R) Pentium(TM) III CPU,1,1000,i386,816,816,0.82,0.82,0.14,0.03
Pentium 4,Intel(R) Pentium(TM) 4 CPU,1,3066,i386,1119,1119,0.36,0.36,0.2,0.04
Baikal T1 BFK,Baikal-T1 (MIPS P5600 V3.0),2,1200,mips,613.5,1227,0.51,1.02,0.11,0.04
