    BusSpeed riscv64 rv64g-opt optimized Sat Aug  6 12:53:53 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   1559   1661   1828   1903   1923   1926
      32    161    186    449   1259   1544   1730
      64    109    122    165    313    705   1069
     128    112     79    154    329    701   1066
     256    113    120    165    329    706   1058
     512    114    128     86    330    698   1062
    1024    114    120    166    330    707   1067
    4096    101    123     77    324    687   1062
   16384    106    122    160    323    685   1043
   65536    107     69    165    312    698   1053
