    BusSpeed riscv64 rv64g-opt optimized Sat Aug  6 12:54:26 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   1174   1495   1304   1335   1270    950
      32    189    291    374    901   1161   1246
      64     76    106    149    325    662    591
     128     80    101    151    327    662    894
     256     78    108    143    323    662    885
     512     80     49    145    328    668    889
    1024     80    108    153    326    658    891
    4096     79     54    151    319    655    886
   16384     76    106    149    316    645    876
   65536     77    104    151    322    655    874
