    BusSpeed riscv64 rv64g-opt optimized Sat Aug  6 12:55:12 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   1112    819   1294   1330   1341   1272
      32    181    294    371    892   1158   1178
      64     77    106     59    327    625    883
     128     79    108    149    325    624    890
     256     78    109    151    174    619    885
     512     79    108    151    324    620    886
    1024     79    106    152    171    664    890
    4096     77    105    150    320    650    881
   16384     76    106     85    314    644    866
   65536     77    104    151    322    656    884
