    BusSpeed riscv64 rv64g-opt optimized Fri Aug  5 15:37:57 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   1554   1658   1830    985   1917   1902
      32    247    348    440   1273   1555   1715
      64    119    136    168    191    757   1109
     128    123    132    176    354    753   1108
     256    116    139    175    186    753   1106
     512    117    139    177    354    753   1104
    1024    123    139    179    352    315   1117
    4096    116    135    173    347    740   1037
   16384    117    135    172    346    693    403
   65536    105    136    182    339    760   1130
