    BusSpeed riscv64 rv64g-opt optimized Thu Feb 24 23:23:27 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   1182   1519   1305   1339   1273   1347
      32    191    293    415   1029   1096   1230
      64     78    109    165    303    613    805
     128     82    109    166    286    635    821
     256     78    109    171    305    605    802
     512     82    110    175    304    666    822
    1024     83    109    172    307    657    800
    4096     78    105    166    297    598    811
   16384     79    107    165    285    633    811
   65536     81    105    165    300    653    807
