    BusSpeed riscv64 rv64g-opt optimized Sat Aug  6 12:56:20 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   1567   1655   1831   1910   1911   1923
      32    218    319    443   1269   1541    948
      64    110    123    162    331    709   1012
     128    113    127    162    330    674    716
     256     65    126    163    330    703   1009
     512    115    128    164    329    705   1007
    1024    114    113     82    332    711    999
    4096    109    125    164    327    701   1006
   16384    108    123     88    322    650   1043
   65536    108    124    157    326    696   1048
