    BusSpeed riscv64 rv64g-opt optimized Fri Aug  5 15:38:42 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   1571   1661   1806   1908   1918   1821
      32    245    341    467   1275   1555   1043
      64    120    136    175    337    751   1109
     128    122    139    176    354    401   1107
     256    123    139    172    354    753   1094
     512    124    141    167    350    754   1092
    1024     66    140    175    352    735   1094
    4096    117    128    173    345    728   1082
   16384     43    136    176    347    737   1100
   65536    116    136    181    357    762    688
