    BusSpeed riscv64 rv64g-opt optimized Fri Aug  5 15:39:16 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16    725   1661   1722   1913   1920   1905
      32    248    341    462   1278   1552   1718
      64    120     60    177    354    760   1116
     128    123    132    176    356    756   1102
     256     97    140    176    351    755   1103
     512    116    140    177    351    755   1106
    1024    117    124     69    353    741   1035
    4096    116    136    171    344    732   1022
   16384    117    136     68    350    699   1092
   65536    116    137    183    357    762   1132
