    BusSpeed riscv64 rv64g optimized Sat Aug  6 12:58:58 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   1593   1674   1841   1909   1897   1925
      32    237    323    267   1373   1601   1740
      64     97    116    152    290    647    946
     128    100    121    152    109    649    948
     256    100    120    153    168    325    471
     512     54     65     75     99    244    444
    1024     62    120    152    296    612    942
    4096    104    114    151    292    337    930
   16384    100    111    150    274    633    930
   65536    102    108     92    292    641    887
