    BusSpeed riscv64 rv64g optimized Fri Aug  5 15:41:20 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   1574   1649   1838   1801   1923   1921
      32    241    350    443   1389   1613    924
      64    111    129    153    314    688    965
     128    114    124    162    315    690    968
     256     45    131    154    314    691    956
     512    114    131    154    315    687    960
    1024    115    125     52    314    682    963
    4096    111    127    152    310    672    942
   16384    110    118     87    311    674    945
   65536    111    119    165    318    639    945
