    BusSpeed riscv64 rv64g optimized Thu Feb 24 23:17:29 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   1483   1668   1830   1850   1921   1924
      32    230    334    412   1244   1547   1710
      64    100    120    154    288    671    953
     128    104    124    158    309    674    964
     256    105    122    158    268    669    967
     512    105    119    164    317    689    983
    1024    105    119    162    299    667    981
    4096    101    117    156    302    647    883
   16384    104    115    158    290    665    962
   65536    106    115    156    310    638    963
