    BusSpeed riscv64 rv64g optimized Sat Aug  6 13:00:29 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   1499    903   1833   1889   1916   1925
      32    239    329    444   1383   1605   1652
      64    103    118     52    295    643    880
     128    106    121    149    296    647    948
     256    106    121    153    262    644    891
     512    107    121    151    297    646    920
    1024    107    118    153    157    652    941
    4096    100    114    152    277    635    930
   16384     99    117    150    229    634    922
   65536     96    113    152    294    641    887
