    BusSpeed riscv64 rv64g optimized Fri Aug  5 15:42:49 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   1447    871   1802   1869   1878   1799
      32    192    292    482   1151   1486   1583
      64     77     55    177    356    719   1099
     128     80    104    176    330    758   1093
     256     63    105    167    354    756   1078
     512     81    106    167    354    752   1076
    1024     81     55    175    348    742   1077
    4096     75    103    172    342    732   1059
   16384     44     97    173    346    735   1059
   65536     81     88    183    355    760    674
