    BusSpeed riscv64 rv64g optimized Sat Aug  6 13:01:48 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16    858   1672   1831   1903   1904   1927
      32    220    335    446   1370   1600   1744
      64     66    118    150    283    648    894
     128    106    120    150    296    650    945
     256    107     65    152    296    637    860
     512    106    120    150    292    645    891
    1024    108    119     82    300    654    942
    4096    104    114    151    293    603    928
   16384    101     94    150    290    633    915
   65536     97    114    152    292    642    521
