    BusSpeed riscv64 rv64g optimized Fri Aug  5 15:44:20 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   1584   1652   1837   1910   1825   1927
      32    246    349    466   1314   1614    940
      64    110    126    162    299    692    967
     128    114    130    162    295    689    965
     256     44    131    163    298    691    956
     512    114    132    163    299    688    969
    1024    115    109    156    319    687    956
    4096    110    123    154    314    681    939
   16384    109     66    162    312    406    948
   65536    101    119    165    318    661    778
