    BusSpeed riscv64 rv64g optimized Sat Aug  6 13:02:34 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   1557   1596   1806   1868   1895   1895
      32    184    279    459   1125   1479    871
      64     74     94    166    333    672   1041
     128     76     97    165    314    554   1026
     256     76     97    165    311    705   1021
     512     76     96    165    312    707   1031
    1024     39     90    157    332    716   1020
    4096     76     87    156    326    701   1003
   16384     37     87    162    321    690   1005
   65536     71     88    165    325    697    545
