    BusSpeed riscv64 rv64g optimized Sat Aug  6 13:02:45 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   1588   1659   1836   1913   1817   1898
      32    236    334    446   1309   1602    838
      64    102    118    151    279    647    947
     128    107    120    151    278    648    946
     256     57    121    152    281    648    937
     512    106    120    153    281    651    948
    1024    106     64    146    299    646    942
    4096    104    114    152    295    644    929
   16384    102     55    150    290    629    926
   65536    102    114    151    294    615    534
