    BusSpeed riscv64 rv64g optimized Sat Aug  6 13:03:19 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   1476   1622   1802   1869   1892   1901
      32    178    278    461   1128   1486    878
      64     73     95    164    333    690   1037
     128     75     94    164    312    502   1026
     256     75     96    164    327    707   1018
     512     76     97    156    329    705    551
    1024     76     89    163    329    707   1025
    4096     74     82    165    326    689    553
   16384     73     93    161    319    688   1008
   65536     74     88    165    325    241   1012
