 ##########################################

   Memory Reading Speed Test riscv64 rv64g-opt optimized Sat Aug  6 15:43:12 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    2942   1698   1369   2984   1695   1697   3075    793   1666
      16    2952   1678   1450   2985   1602   1713   3085   1492   1670
      32    2927   1197    773   2965   1645   1714   3058   1406   1651
      64    1181   1221   1134   1137    608    538   1801   1264    274
     128    1135   1213   1013   1192    505   1134   1057   1016    175
     256    1209   1222   1028   1151    553   1150   1050   1026    274
     512    1207    540    953   1229    498   1221   1068    971    277
    1024    1258   1235   1124    643    506   1215   1063    971    276
    2048    1136   1202   1075   1060    437    825   1042    984    264
    4096    1179   1196   1080   1102    512   1192    357    988    264
    8192    1148   1193   1072   1211    486   1198    563    996    272

                End of test Sat Aug  6 15:43:32 2022

