 ##########################################

   Memory Reading Speed Test riscv64 rv64g-opt optimized Sat Aug  6 15:43:32 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    2892   2894   2360   3015   2899   2492   3043   1804   2445
      16    2132   2865   2313   3024   2891   2357   3084   1791   2440
      32    2841   2868   2349   2843   2384    832   3015   1794   2405
      64    1097   2219   1958   1178   2205   1903   1880   1494    260
     128     545   2196   1834   1204   2190   1990   1067   1031    251
     256    1215   2197   1949    577   2050   2040   1061   1024    260
     512    1116   2222   1953   1226   2200   2030    543   1037    259
    1024    1264   2212   1944   1231   2172   2040   1077    987    169
    2048    1174   2133   1806   1160   2114   1998   1054    950    258
    4096    1165    940   1875   1198   2083   1944   1047   1003    249
    8192    1158   2086    897    913   2056   1923   1052    998    248

                End of test Sat Aug  6 15:43:51 2022

