 ##########################################

   Memory Reading Speed Test riscv64 rv64g-opt optimized Fri Aug  5 18:10:46 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    2961   2621   2278   2977   2809   2452   3088   1550   2351
      16    2931   2763   2278   2825   2828   2448   3055   1549   2350
      32    2936   2199    804   2967   2794   2433   3057   1442   2319
      64    1305   2161   1937   1180   2278   2070   1039   1365   1868
     128    1296   2146   1928   1296   2191   1966   1211   1122    825
     256     695   1980   1925   1291   2192   2066   1205   1055    826
     512    1385   2097   1928    541   2203   2063   1193   1118    826
    1024    1365   2101   1919   1383   2208   1932    648   1115    814
    2048    1281   2029   1887   1349   2092   2032   1121   1095    435
    4096    1237   1805   1869   1343   1950   2025   1121   1091    809
    8192     925   1746   1800   1272   1844   1886   1185   1089    807

                End of test Fri Aug  5 18:11:05 2022

