 ##########################################

   Memory Reading Speed Test riscv64 rv64g-opt optimized Fri Aug  5 18:12:02 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    2951   2773   2272   2993   2829   2449   3081   1547   2211
      16    2953   1471   2265   2980   2678   2440   3087   1549   2338
      32    2938   2753   2133   2967   2815   1301   3046   1445   2316
      64    1298   2150   1915   1223   2127   2055   2232   1377   1934
     128     582   2001   1925   1309   2196   2051   1162   1111    822
     256    1298   2106   1923    685   2205   2043   1203   1112    781
     512    1375   2085   1930   1392   2088   2061    654   1116    823
    1024    1284   2099   1921   1358   2152   1934   1213   1124    567
    2048     876   1996   1853   1234   2025   2020   1178   1026    810
    4096    1223   1873    797   1345   2088   2003   1183   1084    807
    8192    1235   1877   1799    663   1786   1996   1112   1080    800

                End of test Fri Aug  5 18:12:21 2022

