 ##########################################

   Memory Reading Speed Test riscv64 rv64g-opt optimized Sat Aug  6 15:47:05 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    2955   2761   2510   2979   1339   2497   3077   1546   2224
      16    2956   2760   2597   2946   2830   2363   3085   1548   2324
      32    1510   2746   2493   2969   2814   2463   3046   1535   2184
      64    1134   2143   2035    990    795   2019   1862   1323   1706
     128    1195   2131   2076   1186   2131   2029   1067    673    439
     256    1129   2086   2028   1109   2107   2056   1065   1028    744
     512    1215   1398   2031   1212   1984   2052   1075   1027    749
    1024    1158   2074   1992    665   2112   1926   1079   1032    745
    2048    1190   1859   1937   1173   2050   1190   1058   1004    731
    4096    1189   1967   1899   1178   2023   2007   1000    358    736
    8192    1179   1624   1918   1209   1633   1934    999    648    737

                End of test Sat Aug  6 15:47:24 2022

