 ##########################################

   Memory Reading Speed Test riscv64 rv64g-opt optimized Sat Aug  6 15:47:43 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    2944   2773   2657   2980   1479   2490   2905   1542   2358
      16    2943   2765   2647   2992   2833   2496   3066   1541   2352
      32    1386   2607   2636   2962   2797   2482   3044   1443   2301
      64    1181   2127   2141   1154    871   2016   1869   1334   1748
     128    1171   2135   2119   1214   2141   2028   1071    559    747
     256    1174   1979   2081   1220   2089   2053   1076    979    752
     512     960    801   2117   1156   2116   2053   1067   1022    749
    1024    1229   2056   2086    830   2080   2041   1076   1036    747
    2048    1173   1992   2019   1174   2050   1047   1049    981    734
    4096    1179   1962   1993   1197   1911   1877    662    988    735
    8192    1127   1718   1881   1209   1979   1933    574   1006    736

                End of test Sat Aug  6 15:48:02 2022

