 ##########################################

   Memory Reading Speed Test riscv64 rv64g optimized Sat Aug  6 15:49:20 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    1634   1583    749   1859   1673   1674   2307   1440   1447
      16    1620   1677   1385   1867   1672    905   2446   1440   1363
      32    1617   1661   1377   1863   1576   1668   2411   1413    982
      64     769   1150   1065   1303   1218   1210   1743   1272   1267
     128    1228   1214    645    797   1214   1193   1057   1018    954
     256    1247   1215   1044   1303   1212    534   1060   1020   1020
     512    1185   1220   1046   1308   1215   1172   1066    545   1016
    1024    1260   1221   1042   1314   1225   1153   1068   1022   1007
    2048     611   1111   1024   1273   1182   1175    983    982    983
    4096    1217    645   1013   1275   1175   1178    987    985    983
    8192    1214   1177    958    721    769   1156   1041    950    979

                End of test Sat Aug  6 15:49:39 2022

