 ##########################################

   Memory Reading Speed Test riscv64 rv64g optimized Sat Aug  6 15:51:00 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    1629   1670   1306   1875   1679   1663   2434   1442   1364
      16    1634    764    942   1864   1672   1584   2345   1445   1430
      32    1619   1659   1250   1862   1666    867   2404   1346   1430
      64    1254   1227   1056   1276   1245   1231   1754   1029    447
     128    1254   1226   1060   1331   1177   1171   1065   1008   1018
     256    1275    677   1048   1342   1235   1159   1069   1009   1013
     512    1266   1160    990    579   1226   1212   1010   1022   1019
    1024    1264   1224    987   1322   1228    530   1065    962   1018
    2048    1222   1189   1029   1282   1190   1175   1047    479    493
    4096    1228   1194   1015   1284   1123   1185   1051    982    991
    8192     645   1192   1022   1282   1186   1187   1037    993    935

                End of test Sat Aug  6 15:51:19 2022

