 ##########################################

   Memory Reading Speed Test riscv64 rv64g optimized Fri Feb 25 02:01:20 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    1635   2719   2239   1865   2770   2291   2385   1418   1979
      16    1630   2720   2353   1873   2716   2352   2278   1418   1987
      32    1631   2708   2351   1777   2714   2354   2271   1410   1951
      64    1203   2157   1957   1310   2156   1969   1674   1260    282
     128    1186   2073   1955   1323   2146   1895   1065   1009    268
     256    1261   2099   1850   1321   2057   1855   1069   1018    276
     512    1276   2068   1965   1304   2069   1962   1066    968    282
    1024    1254   2055   1920   1314   2099   1968   1078    986    276
    2048    1180   1997   1880   1293   2013   1911   1054    974    278
    4096    1213   2039   1783   1273   2013   1907   1055    947    270
    8192    1236   1918   1819   1296   1962   1880    950   1000    268

                End of test Fri Feb 25 02:01:38 2022

