 ##########################################

   Memory Reading Speed Test riscv64 rv64g optimized Fri Feb 25 02:01:38 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    1619   2770   2192   1873   2768   2191   2435   1442   1966
      16    1634   2771   2200   1842   2727   2205   2368   1446   1855
      32    1629   2765   2313   1864   2761   2310   2432   1434   1941
      64    1271   2159   1868   1332   2115   1966   1779   1244    271
     128    1256   2110   1866   1284   2124   1957   1063   1016    280
     256    1230   1984   1911   1273   2005   1961   1050    961    273
     512    1267   2063   1927   1264   2103   1963   1030    997    280
    1024    1187   2062   1950   1315   2101   1961   1057   1030    280
    2048    1213   2052   1810   1293   2040   1863   1049    987    264
    4096    1233   1878   1871   1229   2031   1895   1039    994    277
    8192    1237   2015   1680   1264   1831   1893   1057   1001    275

                End of test Fri Feb 25 02:01:57 2022

