 ##########################################

   Memory Reading Speed Test riscv64 rv64g optimized Fri Aug  5 18:18:47 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    1665   2653   2054   1991   2658   2054   2424   1447   1034
      16    1675   2651   2037   1999   2655   1948   2442   1450   1975
      32    1666   2643   1932    997   2645   2042   2411   1422   1856
      64    1335   2115   1778   1435   2027   1782   1381    212   1717
     128    1257   2148   1772   1431   2147   1775   1110    274   1142
     256     703   2131   1769   1427   2113   1779   1181    263   1148
     512    1337   2124   1775    799    953   1778   1178    271   1148
    1024    1304   2110   1768   1431   2123   1775   1120    172   1144
    2048    1282   2044   1733   1392   2039   1731   1165    259   1118
    4096     999    927   1730   1394   1908   1736   1156    269   1125
    8192    1292   2022   1648    552   2022   1703   1168    267   1123

                End of test Fri Aug  5 18:19:05 2022

