 ##########################################

   Memory Reading Speed Test riscv64 rv64g optimized Sat Aug  6 15:54:33 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    1547   2766   2369   1863   2770   2364   2361   1436   1967
      16    1631   2771   1904    778   2767   2355   2435   1435   1988
      32    1617   2608   2340   1858   2746   2349   2406    745   1963
      64    1253   2148   1931   1328   2152   1955   1828   1271    272
     128    1254   1267   1934   1303   2025   1946   1073   1030    271
     256    1191   2100   1947    812   2090   1947   1071   1030    269
     512    1256   1987   1947   1319   2077   1950    386   1016    270
    1024    1250   2083   1935   1323   2087   1925   1071   1026    182
    2048    1220   2031   1884   1214   2042   1911   1041    994    266
    4096    1219   1090   1856   1277   1907   1892   1049    991    267
    8192    1221   2009   1218   1278   1896   1876   1038    992    267

                End of test Sat Aug  6 15:54:52 2022

