 ##########################################

   Memory Reading Speed Test riscv64 rv64g optimized Fri Aug  5 18:20:38 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    1676   2665   1064   1990   2633   2063   2434   1369   1992
      16    1679   2630   2047   1991   2515   2047   1003   1433   1988
      32    1651   2498   2044   1975   2620   2042   2414   1346   1963
      64    1319    834    953   1464   2030   1766   1920    272   1645
     128    1323   2019   1772   1441   2146    946   1171    272   1140
     256    1325   2127   1675   1433   2119   1758   1177    272    486
     512    1329   2078   1764   1441   2128   1779   1188    270   1152
    1024    1255   1731    739   1426   2102   1764   1189    271   1158
    2048    1293   2042   1647   1405   1700    708   1164    259   1121
    4096    1292   2016   1721   1322   2017   1723   1166    172   1054
    8192    1286   1990   1707   1323   2013   1715   1165    268    590

                End of test Fri Aug  5 18:20:57 2022

