 ##########################################

   Memory Reading Speed Test riscv64 rv64g optimized Sat Aug  6 15:56:46 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    1550   2776   2548   1859   2764   2362   2316   1446   1986
      16     883   2756   2543   1871   2763   2365   2425   1444   1983
      32    1537   2754   2540   1847   1491   2216   2407   1421   1944
      64    1250   2083   1888   1298   2105   1922   1772    723    241
     128    1249   2145   2047   1243   2142   1946   1054   1016    271
     256    1257   1069   2043   1309   2067   1840   1066   1023    269
     512    1269   1981   2052   1126    759   1949   1065    970    271
    1024    1250   2085   2039   1251   2085   1939   1067    537    259
    2048    1220   2054   2018   1284   1934   1913   1053    991    267
    4096     643   2035   1988   1283   2013   1885   1055    989    267
    8192    1223   1057   1972   1278   1968   1828   1054    990    267

                End of test Sat Aug  6 15:57:05 2022

