 ##########################################

   Memory Reading Speed Test riscv64 rv64g optimized Sat Aug  6 15:57:24 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    1635   2763   2554   1872   2770   2362   2443   1448   1888
      16    1636   2755   2527    743   2619   2353   2426   1445   1985
      32    1625   2643   2536   1867   2756   2346   2410    748   1960
      64    1257   2133   2037   1260   2145   1955   1844   1267    270
     128    1187   1159   2031   1316   2137   1841   1065   1020    271
     256    1258   1989   2059    916   1006   1947   1065    968    270
     512    1264   2102   2059   1255   2110   1945   1067    522    249
    1024    1260   2085   2022   1327   2088   1951   1074   1019    270
    2048     639   2050   2012   1276   2053   1910   1042    994    266
    4096    1235   2016   1138   1285   2007   1877    993    994    268
    8192    1226   2010   1888    866   2005   1851   1052    997    266

                End of test Sat Aug  6 15:57:43 2022

