
  ####################################################
  getDetails and MHz

 ##########################################

From File /proc/cpuinfo


From File /proc/version
  Assembler CPUID and RDTSC      
    BusSpeed amd64 x86-64 optimized Sun Sep  4 20:56:01 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16  26708  27292  32265  33602  33701  33747
      32  24479  23913  27774  33582  33613  33472
      64   8457   8440  17036  31342  32872  33617
     128   8640   8628  17045  31421  33057  33640
     256   8616   8625  17176  31526  33104  33709
     512   7770   7694  15078  27022  32026  33295
    1024   6633   6530  12239  21714  31014  33530
    4096   6091   6461  12078  20402  30780  33520
   16384   2491   2936   5695   9569  15897  24119
   65536   1065   1363   3049   6366  10245  18322

 Type additional information to include in busSpeed.txt - Press Enter
