    BusSpeed amd64 x86-64 optimized Sun Sep  4 20:56:21 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16  25890  26479  30971  32324  32476  32481
      32  22955  22892  26018  32189  32320  32285
      64   8167   8195  16513  30114  31715  32356
     128   8346   8362  16490  30032  31811  32442
     256   8335   8344  16586  30157  31780  32471
     512   7511   7170  14112  23369  28986  31806
    1024   6371   6234  11161  19983  28638  31760
    4096   5855   6201  11590  19538  29287  31868
   16384   2303   2696   5226   8728  14330  22032
   65536   1015   1314   2944   6138   9892  17895
