
  ####################################################
  getDetails and MHz

 ##########################################

From File /proc/cpuinfo


From File /proc/version
  Assembler CPUID and RDTSC      

   Memory Reading Speed Test amd64 x86-64 optimized Sun Sep  4 23:00:29 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   63905  32529  33156  64331  32603  33226  33525  16854  16639
      16   65035  32941  33035  64735  32748  31719  33344  16716  16799
      32   64638  32404  33212  65573  33140  33436  33550  16775  16858
      64   55248  29802  31007  55641  30349  31391  32454  16561  16581
     128   55493  30211  31185  55347  31739  32800  33863  17280  17293
     256   57794  31668  32497  58031  31757  32410  33699  17267  17273
     512   57565  31553  32508  57981  31726  32715  33707  17263  17263
    1024   57319  31315  32410  57810  31647  32660  33546  17287  17215
    2048   57146  31270  32391  57621  31603  32846  33524  17322  17300
    4096   57157  31349  32335  57634  31542  32640  33472  17215  17223
    8192   57227  31392  32482  57722  31488  32816  33583  17303  17317

                End of test Sun Sep  4 23:00:44 2022

