MemTotal:       64965556 kB
MemFree:          906424 kB
MemAvailable:   58980648 kB
Buffers:          196620 kB
Cached:         58047460 kB
SwapCached:            0 kB
Active:           706236 kB
Inactive:       57724856 kB
Active(anon):     157220 kB
Inactive(anon):    42992 kB
Active(file):     549016 kB
Inactive(file): 57681864 kB
Unevictable:       14204 kB
Mlocked:           14204 kB
SwapTotal:      31231996 kB
SwapFree:       31231484 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:        198128 kB
Mapped:            97664 kB
Shmem:              9408 kB
KReclaimable:     563652 kB
Slab:            1713976 kB
SReclaimable:     563652 kB
SUnreclaim:      1150324 kB
KernelStack:        5840 kB
PageTables:         2944 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    63714772 kB
Committed_AS:     462280 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      206912 kB
VmallocChunk:          0 kB
Percpu:            13952 kB
HardwareCorrupted:     0 kB
AnonHugePages:    133120 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      361792 kB
DirectMap2M:    16574464 kB
DirectMap1G:    50331648 kB
