 ##########################################

   Memory Reading Speed Test amd64 x86-64 optimized Fri Jan  5 17:52:32 2024
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8  171819 274745 277076 196076 277194 276961 119507 120860 118187
      16  171116 269922 269600 197882 270480 270005 130216 130916 129501
      32  171078 268975 270488 182186 271263 270985 125517 125738 125460
      64  153626 236586 236885 153088 236437 238212  78618  79400  79386
     128  153611 236128 237867 153549 237006 237529  77428  78357  78362
     256  154605 236850 236838 154456 236759 237374  77264  78273  78266
     512  154627 236597 238066 154730 237484 238388  77274  78286  78280
    1024  148924 231122 234798 149371 233427 236625  75429  76076  76086
    2048  112312 213125 216181 112699 215328 216071  58471  58647  58652
    4096  112178 213520 216510 112698 215829 216330  58380  58650  58579
    8192  113068 213756 217289 113624 216196 217074  58646  58859  58845

                End of test Fri Jan  5 17:52:51 2024

