 ##########################################

   Memory Reading Speed Test amd64 x86-64 optimized Fri Sep 30 20:28:54 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8  116387 101532  85120  98567 116158 119882 120487 121668 121644
      16  115768 100268  86761  98706 115676 120083 111425 112385 112578
      32  111505 100434  87534  97264 115079 119172 103954 109077 109108
      64  107975  99084  87149  95572 112326 117031  84023  84419  84593
     128  109061  99075  87393  96115 112277 117093  83602  83999  83963
     256  109642  98999  87458  95937 112639 116945  83767  84129  84252
     512  108307  98884  87198  95935 112259 116629  82271  82249  82062
    1024  105324  97916  84623  91923 106274 109315  66525  67363  66941
    2048  102212  93384  81566  91539 106814 110562  67354  67429  67787
    4096  103751  93194  81432  91746 107017 111107  67629  67975  68080
    8192  103792  93144  81671  91528 106936 110192  67641  68121  68151

                End of test Fri Sep 30 20:29:12 2022

