 ##########################################

   Memory Reading Speed Test amd64 x86-64 optimized Fri Sep 30 18:52:10 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8  198471 271804 269956 199122 276045 275386 121508 122888 122876
      16  182003 273952 272227 201052 276217 272381 133513 132741 133477
      32  159202 232764 232808 160446 232628 233530 116239 115599 116369
      64  149613 224452 227551 149799 226694 227101  78742  78751  79029
     128  154300 235802 236589 154564 236134 235681  78945  78946  79676
     256  156054 238094 239111 156232 238433 238274  78897  78891  79761
     512  155948 238809 240116 156341 239599 239372  78607  78606  79350
    1024  131388 227270 228688 131126 229716 230253  69410  69455  69513
    2048  121646 223705 226836 125343 226657 228219  61818  61652  62045
    4096  123886 227219 229480 125989 229146 230519  61768  61486  61938
    8192  126037 228285 230005 126123 229540 230843  61831  61550  62016

                End of test Fri Sep 30 18:52:28 2022

