 ##########################################

   Memory Reading Speed Test amd64 zen4 optimized Fri Sep 30 18:53:06 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   84743 157254 157213  84484 114096 158133  43303  56463  78757
      16   85678 164825 164412  85527 137433 165601  43302  68306  82259
      32   85928 168732 168341  86153 152943 169007  43502  76344  84185
      64   75967 140390 141201  76844 135141 140390  43298  77364  84198
     128   76036 140966 141745  76964 137713 140913  43295  79362  84849
     256   76065 141151 141986  77083 139049 141189  43296  80624  85034
     512   74846 135296 135949  75700 133101 135484  43262  75597  79157
    1024   73497 124818 125719  74144 123970 125332  43283  69411  70939
    2048   74656 119242 122884  74160 118404 119295  42964  62818  63943
    4096   74944 119897 123889  74402 119168 119807  42913  62994  64295
    8192   75127 119809 123969  74430 118965 119877  42991  62964  64207

                End of test Fri Sep 30 18:53:24 2022

