 ##########################################

   Memory Reading Speed Test amd64 x86-64 optimized Sat Oct  1 16:07:29 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   77028  37175 159464  84695 157514 158218  43581  79390  79425
      16   76704  37007 165633  85857 165550 165539  43571  82856  82843
      32   76901  36820 167972  86578 169172 168894  43597  84750  84731
      64   76584  36114 141891  74686 136333 136294  43515  84968  84943
     128   76663  37233 142442  74830 136719 136698  43517  85436  85451
     256   76767  36228 142676  74886 136898 136734  43538  85691  85685
     512   76873  36911 142092  74825 136720 136645  43568  85829  85780
    1024   76616  36685 115449  70241 114100 114377  42457  62777  62592
    2048   74272  36412 120468  73236 120498 120522  43201  63441  63238
    4096   75864  36003 122741  73661 123073 122943  43148  63906  62341
    8192   75979  37063 122611  73796 123101 122788  43115  63804  63818

                End of test Sat Oct  1 16:07:47 2022

