 ##########################################

   Memory Reading Speed Test amd64 zen4 optimized Sat Oct  1 16:08:04 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8  114318  98535  81953  95903 113412 117118 116029 117698 113776
      16  114110  97393  83656  96079 112970 117174 107221 108352 108295
      32  112151  97636  84222  95165 112790 116470 103545 105726 105770
      64  107117  97097  84661  93698 110840 115199  80713  81535  81547
     128  108246  97072  84971  94143 111064 115413  80458  81096  81057
     256  108630  96959  84980  94165 110928 115375  80578  81093  81094
     512  108773  96875  84831  93849 110919 115432  80274  80068  80219
    1024  102563  95066  84796  92266 106586 110441  70048  69895  70060
    2048  104197  94123  82641  92265 107441 111080  68189  68281  68317
    4096  103739  93120  82838  92492 107260 110283  67938  67725  68060
    8192  103662  93654  82755  92448 104259 107420  65673  65719  65656

                End of test Sat Oct  1 16:08:22 2022

