    BusSpeed amd64 zen4 optimized Sat Oct  1 17:06:00 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16  42773  44815  49825  53701  54845  55054
      32  38487  41043  42186  52537  53463  52834
      64  10570  10549  21466  38581  39999  44565
     128  10790  10777  21395  38909  40104  44804
     256  10759  10768  21513  39192  40166  44922
     512  10837  10845  21523  39204  40132  44886
    1024   9713   9292  17949  30706  36467  42737
    4096   7520   9052  18513  31474  37724  43151
   16384   7215   8104  18065  31085  37662  43102
   65536   1557   3883   9723  17279  28993  38562
