 ##########################################

   Memory Reading Speed Test amd64 zen4 optimized Sat Oct  1 17:35:18 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   84446 156882 156890  84285 113762 157684  43167  56215  78544
      16   85119 164195 164045  85157 136971 165021  43189  68013  82039
      32   85699 167607 167799  85796 152256 168446  43323  76082  83956
      64   75669 139821 140778  76528 134812 140057  43139  77149  83823
     128   75563 140162 141285  76661 137366 140526  43178  79324  84444
     256   75658 140523 141566  76726 138686 140808  43167  80400  84553
     512   75556 140418 141259  76617 139052 140593  43181  80708  83790
    1024   72603 119737 120637  72990 118549 119783  43060  65715  66600
    2048   74052 118277 121862  73593 117787 118725  42791  62435  63801
    4096   74639 118593 123070  75513 117708 119759  44033  62173  64047
    8192   74872 119457 123542  74327 118822 115858  42063  63147  64206

                End of test Sat Oct  1 17:35:36 2022

