 ##########################################

   Memory Reading Speed Test amd64 zen4 optimized Sat Oct  1 17:35:54 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8  198714 266608 269088 199260 274546 275584 118973 119976 122517
      16  180965 272262 275026 199480 274454 273739 129179 132069 132359
      32  176930 272645 272378 185020 274121 274031 131258 126808 126828
      64  155076 238983 239981 155036 239920 240414  79821  80455  79706
     128  155320 239444 240582 155422 239962 240885  78675  79798  78869
     256  157405 240232 241734 157381 241394 241545  78877  79714  78775
     512  155983 240022 240984 157087 240291 241416  78518  79259  78548
    1024  133494 227027 229333 131391 229859 229778  69891  70216  70185
    2048  122926 225234 228677 125834 228496 229535  61574  62120  61661
    4096  123161 226395 231058 126125 229858 231626  61501  62083  61653
    8192  123001 227302 230890 126150 229913 230488  61509  62023  61645

                End of test Sat Oct  1 17:36:13 2022

