    BusSpeed arm64 armv8.4-a optimized Wed Feb  9 19:55:26 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   2950   3223   3964   3814   4207   3789
      32   3097   3253   3703   3788   3853   4042
      64   1136   1519   4005   4168   4103   4467
     128   1377   1189   2308   3577   3723   4453
     256   1254   1301   2223   3987   3765   3969
     512   1249   1424   2588   4575   7852   4888
    1024   1559   1316   2150   3689   3858   3909
    4096    621    729   1653   2417   3773   3808
   16384    291    459    810   1399   2900   3595
   65536    165    156    792   1499   3064   3643
