    BusSpeed arm64 armv8.4-a optimized Wed Feb  9 19:55:48 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   3544   3051   4101   3719   3947   3900
      32   3671   3157   3759   3933   3611   3672
      64   1126   1605   3359   3491   4070   4146
     128   1212   1239   2429   5212   4139   3644
     256   1218   1243   2548   3681   4141   4422
     512   1197   1537   2182   3687   4477   3774
    1024   1320   1245   2339   3463   3842   3761
    4096    669    779   1904   3057   3806   3608
   16384    393    458   1913   3421   2923   4106
   65536    140    136    660   1533   2870   4336
