    BusSpeed arm64 armv8.4-a optimized Wed Feb  9 19:56:10 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   3039   3235   3614   3790   3812   4123
      32   3105   3702   3994   3835   3773   3497
      64   1203   1478   4029   3683   4495   3567
     128   1534   1196   2435   3590   3670   4413
     256   1212   1451   2150   3598   3667   3813
     512   1870   2148   2633   3641   4808   3786
    1024   1249   1248   2492   3682   5465   5901
    4096    614    682   2001   3128   3642   3595
   16384    343    291    884   1631   3042   3808
   65536    142    140    788   1636   3246   3776
