 ##########################################

   Memory Reading Speed Test arm64 armv8.4-a optimized Wed Feb  9 21:18:00 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    6902   7137   7857   9772   7992   8658  15333  14413  16089
      16    7193   5572  10029   8600   8286   9073  15506  15947  14264
      32    6544   7015   7454   8450   8834   8662  15731  15983  18208
      64    5892   6549   7783   7285   8102   9060  28963  26030  17547
     128    6557   6911   7509   8035   9907   8203   8264   8247   8555
     256    5343   7723   9115   8578   7978   8730  10434   9448   8507
     512    6440   7108   7626   8488   7658   8746   9286   8592   8411
    1024    7013   6942   8884   7906   8177   8976   8612   9295   9018
    2048    6263   5958   8069   9283   9895   9370   8997   9300   8527
    4096    6250   6449   7363   8172   7712   8231   7611   8537   7742
    8192    6398   6072   8316   8841   5251  11260   9190   8422   8372

                End of test Wed Feb  9 21:18:16 2022

