 ##########################################

   Memory Reading Speed Test arm64 armv8.4-a optimized Wed Feb  9 21:17:25 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    6459   6715   8840   7991   8109   8195  15288  15237  14077
      16    6501   6259   8928   7779   8326   9445  15126  17303  15717
      32    6905   7327   9083   6374   8893  11125  14875  15854  15251
      64    5973   6006   7309   7406   8579   8478  14913  14832  14485
     128    7660   6432   7497   8804   7829  10393   8503   8514   9356
     256    6911   6624   7513   8084   8924   9244   8617   8547   8626
     512    7747   8332   7757   7477   8183  16551  15793  10501   8442
    1024    6748   7007   7500   8177   7736   8736   8663   8829   8626
    2048    6546   6594   7784   8132   8141   9316   9362   7730   9783
    4096    6375   7329   7498   7540   8139   8345   4199  11338   7299
    8192    6284   6245   7416   7875   8330   8348   8131   7263   7898

                End of test Wed Feb  9 21:17:42 2022

