 ##########################################

   Memory Reading Speed Test arm64 armv8.4-a optimized Wed Feb  9 21:20:47 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    9264   8323   7481   7738   7303   9223  15904  15375  12995
      16    7677   7960   7700   8331   7547   9292  14748  16870  17782
      32   15172   7980   9104   9129   9397   8295  15105  17223  14667
      64    7783   7122   8727   7652   8658   8669  14831  15440  14113
     128    8744   7753   8736   8762   8101   9383   8460  10130   9396
     256    7306   8738   7558   8017   7716   8531  10260   8072   8521
     512    7838   9210   7883   8689   8466   8164   8317   8497  10496
    1024    7863  10149   7662   8144   9236   9138   8407   8590   8540
    2048    7148   8236   7492   9933   7982   8242   8699   9406   9382
    4096    7349   8995   7134   7819   9010   7902   7595   8671   8821
    8192    7523   7442   7781   8863   7780   8190   8178   5318   6762

                End of test Wed Feb  9 21:21:03 2022

