
 ##########################################

From File /proc/cpuinfo
 Cannot open /proc/cpuinfo


From File /proc/version

    BusSpeed arm64 native optimized Tue Dec 14 17:54:42 2021
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16  11432  11433  12505  12884  12864  12871
      32  12496  12444  12500  12896  12872  12877
      64  12241  12497  12787  12896  12887  12893
     128  10742  12775  12778  12883  12903  12880
     256   6222   6328  12775  12887  12892  12898
     512   6357   6396  12821  12886  12901  12888
    1024   6372   6377  12856  12892  12893  12900
    4096   6372   6393  12722  12903  12905  12902
   16384   2033   4070   8388  12608  12701  12795
   65536   1086   3789   7709  12687  12807  12880

 Type additional information to include in busSpeed.txt - Press Enter
