
 ##########################################

From File /proc/cpuinfo
 Cannot open /proc/cpuinfo


From File /proc/version


   Memory Reading Speed Test arm64 native optimized Tue Dec 14 18:25:59 2021
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   51092  50646  50961  58774  58603  58701  76405  78242  78371
      16   50628  50679  50669  57982  58045  58047  78026  76515  78191
      32   50737  50837  50760  58378  58219  58413  77707  78300  77375
      64   50809  50828  50759  58507  58453  58482  76994  75538  74900
     128   50131  50778  50778  58665  58609  58590  70514  84832  74240
     256   50901  50897  50799  58519  58450  58410  86809  85359  86088
     512   50491  49645  50770  58566  57761  58080  47875  47710  48089
    1024   50877  50961  50847  58710  58708  58613  48109  48125  47944
    2048   50957  50954  50769  58551  58683  58503  48097  48213  48243
    4096   49761  49591  50284  57588  57394  57652  48083  48313  48145
    8192   48777  48775  48957  56106  56117  56066  48163  48531  48422

                End of test Tue Dec 14 18:26:14 2021

