    BusSpeed arm64 armv8.4-a optimized Thu Feb 10 09:50:54 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16  11368  11450  12506  12897  12863  12852
      32  12494  12507  12514  12872  12853  12888
      64  12425  12460  12763  12902  12897  12896
     128  10724  12761  12753  12891  12898  12903
     256   6220   6313  12738  12897  12897  12881
     512   6359   6354  12784  12896  12878  12900
    1024   6400   6375  12829  12874  12898  12900
    4096   6369   6402  12625  12904  12891  12902
   16384   2029   4072   8223  12493  12718  12812
   65536   1089   3793   7701  12576  12811  12864
