
 ##########################################

From File /proc/cpuinfo
 Cannot open /proc/cpuinfo


From File /proc/version

    BusSpeed arm64 native optimized Tue Dec 14 20:28:07 2021
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16  11382  11375  12350  12756  12764  12643
      32  12358  12436  12450  12747  12802  12837
      64  12421  12463  12790  12592  12635  12855
     128  10691  12784  12775  12873  12842  12832
     256   6201   6300  12665  12790  12812  12856
     512   6306   6345  12714  12885  12854  12808
    1024   6392   6412  12850  12884  12823  12846
    4096   6388   6367  12615  12835  12826  12821
   16384   2060   4052   8298  12457  12587  12682
   65536   1072   3685   7518  12437  12701  12777

 Type additional information to include in busSpeed.txt - Press Enter
