 ##########################################

   Memory Reading Speed Test arm64 armv8.4-a optimized Thu Feb 10 10:52:49 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   51015  49724  50797  58719  58691  58690  77293  75684  77374
      16   50512  50685  50665  57977  58037  57938  77062  77474  77930
      32   50810  50773  50630  58237  58404  58412  68006  67301  76917
      64   50649  50828  50676  58587  58553  58324  75236  80867  74814
     128   50813  50861  50554  58446  58630  58559  69206  76452  73049
     256   50839  50880  50791  58449  58476  58440  84884  85346  84171
     512   50895  50918  50788  58612  58601  58561  48073  48279  48134
    1024   50956  50927  50843  58676  58685  58625  48424  48345  48209
    2048   50931  50884  50844  58676  58611  58565  48327  48390  48278
    4096   50187  50207  50270  57521  57519  57445  48222  48146  48156
    8192   50119  50135  50236  57518  57506  57463  48328  48288  48270

                End of test Thu Feb 10 10:53:04 2022

