 ##########################################

   Memory Reading Speed Test arm64 armv8.4-a optimized Thu Feb 10 10:52:19 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   50897  49154  50209  58483  58675  58534  75268  75697  77578
      16   50568  50562  50600  57746  58034  57955  78174  77473  77163
      32   50566  50829  50792  58491  58459  58279  76843  76579  77095
      64   50612  50765  50533  58393  58565  58223  73190  73818  72011
     128   50771  50862  50706  58640  58630  58586  75259  74285  70526
     256   50915  50905  50794  58535  58488  58439  86292  84676  83600
     512   50916  50903  50819  58665  58634  58525  48197  47980  47951
    1024   50978  50965  50858  58714  58687  58617  48237  48297  48279
    2048   50988  50966  50807  58699  58704  58644  48426  48354  48378
    4096   50215  50213  50268  57599  57614  57557  48424  48165  48260
    8192   48527  48462  48568  55772  55748  55704  46997  47064  47016

                End of test Thu Feb 10 10:52:34 2022

