 ##########################################

   Memory Reading Speed Test arm64 armv8.4-a optimized Thu Feb 10 10:53:05 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   50913  49561  50987  58806  58682  58528  77125  74930  77615
      16   50643  50618  50605  57932  57917  58042  77869  77868  77590
      32   50467  50733  50394  58361  57776  57896  77492  76944  76834
      64   50798  50827  50756  58583  58422  58329  73415  73411  79919
     128   50799  50841  50751  58626  58633  58576  64100  73091  70711
     256   50908  50883  50779  58537  58444  58417  86157  83366  83823
     512   50944  50906  50797  58638  58634  58566  48109  48163  47705
    1024   50946  50914  50844  58699  58687  58587  48414  48363  48215
    2048   50954  50967  50858  58712  58658  58617  48296  48421  48586
    4096   50235  50231  50294  57598  57558  57540  48316  48203  48220
    8192   49812  49765  49810  57043  57031  56997  48313  48244  48378

                End of test Thu Feb 10 10:53:20 2022

