 ##########################################

   Memory Reading Speed Test arm64 armv8.4-a optimized Thu Feb 10 10:51:48 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   50799  49766  50823  58659  58509  58755  77389  75384  77673
      16   50456  50670  50491  57995  58052  57421  77714  70201  77954
      32   50273  50810  50470  58325  58465  58445  77827  77293  77508
      64   50594  50760  50763  58506  58545  58181  73640  76160  75804
     128   50736  50759  50351  58645  58570  58580  68531  70744  70124
     256   50807  50876  50681  58541  58465  58469  87114  80849  84395
     512   50930  50902  50780  58459  58638  58561  47799  48157  47663
    1024   50951  50858  50832  58707  58696  58548  47903  47973  48050
    2048   50863  50935  50759  58721  58492  58606  48388  48386  48140
    4096   50211  50226  50277  57612  57561  57429  48179  48122  48234
    8192   50208  50166  50236  57389  57627  57414  48399  48830  33550

                End of test Thu Feb 10 10:52:03 2022

