 ##########################################

   Memory Reading Speed Test arm64 armv8.4-a optimized Thu Feb 10 10:55:06 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   58498  58293  50898  57081  58661  58778  78119  78462  78504
      16   57765  57635  50669  58044  58042  57767  77971  77837  70145
      32   57996  58055  50632  58464  58203  58379  76867  77645  75279
      64   58126  58234  50607  58540  58570  58462  75471  76350  75854
     128   58259  57899  50249  57940  58225  58131  85843  76368  76876
     256   58206  58160  50728  58520  58360  58472  85795  85542  86026
     512   58295  57622  50756  58545  58606  57826  47884  47897  46615
    1024   58379  58414  50830  58540  58465  58389  47923  47890  47892
    2048   58267  58224  50809  58678  58695  58644  48516  48510  48521
    4096   57160  57217  50215  57472  57469  57417  48316  48286  48042
    8192   55668  55703  48929  55904  55948  55897  47988  48129  48052

                End of test Thu Feb 10 10:55:21 2022

